Species,Weight,FishID
Bream,242,1
Bream,290,2
Bream,340,3
Bream,363,4
Bream,430,5
Bream,450,6
Bream,500,7
Bream,390,8
Bream,450,9
Bream,500,10
Bream,475,11
Bream,500,12
Bream,500,13
Bream,340,14
Bream,600,15
Bream,600,16
Bream,700,17
Bream,700,18
Bream,610,19
Bream,650,20
Bream,575,21
Bream,685,22
Bream,620,23
Bream,680,24
Bream,700,25
Bream,725,26
Bream,720,27
Bream,714,28
Bream,850,29
Bream,1000,30
Bream,920,31
Bream,955,32
Bream,925,33
Bream,975,34
Bream,950,35
Roach,40,36
Roach,69,37
Roach,78,38
Roach,87,39
Roach,120,40
Roach,0,41
Roach,110,42
Roach,120,43
Roach,150,44
Roach,145,45
Roach,160,46
Roach,140,47
Roach,160,48
Roach,169,49
Roach,161,50
Roach,200,51
Roach,180,52
Roach,290,53
Roach,272,54
Roach,390,55
Whitefish,270,56
Whitefish,270,57
Whitefish,306,58
Whitefish,540,59
Whitefish,800,60
Whitefish,1000,61
Parkki,55,62
Parkki,60,63
Parkki,90,64
Parkki,120,65
Parkki,150,66
Parkki,140,67
Parkki,170,68
Parkki,145,69
Parkki,200,70
Parkki,273,71
Parkki,300,72
Perch,5.9,73
Perch,32,74
Perch,40,75
Perch,51.5,76
Perch,70,77
Perch,100,78
Perch,78,79
Perch,80,80
Perch,85,81
Perch,85,82
Perch,110,83
Perch,115,84
Perch,125,85
Perch,130,86
Perch,120,87
Perch,120,88
Perch,130,89
Perch,135,90
Perch,110,91
Perch,130,92
Perch,150,93
Perch,145,94
Perch,150,95
Perch,170,96
Perch,225,97
Perch,145,98
Perch,188,99
Perch,180,100
Perch,197,101
Perch,218,102
Perch,300,103
Perch,260,104
Perch,265,105
Perch,250,106
Perch,250,107
Perch,300,108
Perch,320,109
Perch,514,110
Perch,556,111
Perch,840,112
Perch,685,113
Perch,700,114
Perch,700,115
Perch,690,116
Perch,900,117
Perch,650,118
Perch,820,119
Perch,850,120
Perch,900,121
Perch,1015,122
Perch,820,123
Perch,1100,124
Perch,1000,125
Perch,1100,126
Perch,1000,127
Perch,1000,128
Pike,200,129
Pike,300,130
Pike,300,131
Pike,300,132
Pike,430,133
Pike,345,134
Pike,456,135
Pike,510,136
Pike,540,137
Pike,500,138
Pike,567,139
Pike,770,140
Pike,950,141
Pike,1250,142
Pike,1600,143
Pike,1550,144
Pike,1650,145
Smelt,6.7,146
Smelt,7.5,147
Smelt,7,148
Smelt,9.7,149
Smelt,9.8,150
Smelt,8.7,151
Smelt,10,152
Smelt,9.9,153
Smelt,9.8,154
Smelt,12.2,155
Smelt,13.4,156
Smelt,12.2,157
Smelt,19.7,158
Smelt,19.9,159
